Nachname;Vorname;Rolle;ID;Passwort
Bein;Uwe;Student;Uwe_Bein;5rezudn
Ulmen;Christian;Student;Chri_Ulm;dewrj44
Lisicki;Sabine;Student;Sab_Lis;saeojfe
Curie;Marie;Student;Mar_Cur;sa3834h
Mijatovic;Helen;Student;Hel_Mij;845hfdf
Dantona;Franziska;Student;Fra_Dan;dvnfjr4k
Langbein;R�diger;Student;R�d_Lan;289fjsds
Gro�kopf;Jutta;Student;Jut_Gro;aqq12okd
Wolf;Richard;Mitarbeiter;Ric_Wol;ll994f4
Holle;Margret;Mitarbeiter;Mar_Hol;uzt84de
Kaman;Christian;Vermieter;Chr_Kam;cvcvcdjs
Lottner;Christina;Student;Chr_Lot;aaq2222
Ballack;Michael;Student;Mic_Bal;w23weie
Frings;Thorsten;Student;Lut_Fri;349569j
Hausmann;Hanna;Student;Han_Hau;yxyxiss
Xi;Mang;Student;Man_Xi;otpz95tr
Kantmann;Sabrina;Vermieter;Sab_Kan;cmser34iu
Pagliuca;Francesco;Vermieter;Fra_Pag;brti455jji
Kanter;Enes;Vermieter;Ene_Kan;xniurww
Max;Tester;Student;test;test
